hhid,sampletype,tacoma_addon,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,sample_segname,h_cnty,h_city,h_zip,address_use_flag,panel_moveinspect,h_segname,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma10,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_cnty,prev_home_loc_city,prev_home_loc_zip,prev_home_loc_st,prev_home_loc_x,hh_info_dur,incentive_type,incentive_amt,user_ismobiledevice,foreign_language,expwt_h1415
15100272,1,0,5/5/2015,Tuesday,9,2,2,2,0,2,7,7,,5,OS_LI,1,SEATTLE,98119,2015reported,,OS_LI,King,Seattle CBD, ,Seattle School District,,,53033007000,530330070006,11603,1,6,1,4,1,5,3,5,5,5,4,3,3,,,,,,,,,9,2,10,TRUE,0,1740.278198
15100273,1,0,5/5/2015,Tuesday,12,5,3,3,0,3,7,8,,5,REG_HI,4,MILL CREEK,98012,2015reported,,REG_HI,Snohomish,Suburban Snohomish, ,Everett School District,,,53061052005,530610520052,11704,1,6,1,1,4,4,5,4,4,3,2,4,4,,,,,,,,,15,1,10,FALSE,0,4918.61172
15100274,1,0,5/5/2015,Tuesday,3,0,1,1,0,0,5,2,,1,OS_LI,3,TACOMA,98405,2015reported,,OS_LI,Pierce,Tacoma,Tacoma Downtown,Tacoma Public Schools,,,53053061500,530530615004,11501,1,5,2,4,1,5,1,5,1,2,5,1,5,,,,,,,,,6,2,20,FALSE,0,47.14496528
15100275,1,0,5/5/2015,Tuesday,7,1,1,1,0,1,5,6,,4,REG_HI,1,SEATTLE,98117,2015reported,,REG_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033003300,530330033005,11601,1,6,1,1,5,5,2,5,4,4,5,3,5,,,,,,,,,6,2,10,FALSE,0,59.85370202
15100276,1,0,5/5/2015,Tuesday,10,2,2,2,0,1,8,7,,5,OS_HI,1,SEATTLE,98112,2015reported,,OS_HI,King,Seattle CBD, ,Seattle School District,,,53033006200,530330062001,11604,1,7,1,1,5,5,5,4,3,3,5,4,5,,,,,,,,,17,2,10,FALSE,0,105.6493932
15100277,1,0,5/5/2015,Tuesday,4,0,1,1,0,1,4,5,,3,REG_HI,1,SEATTLE,98125,2015reported,,REG_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033000200,530330002006,11602,2,6,1,1,4,5,5,5,5,4,5,5,5,,,,,,,,,20,2,10,FALSE,0,66.99268528
15100278,1,0,5/5/2015,Tuesday,8,2,3,3,0,3,7,7,,5,OS_LI,1,BURIEN,98166,2015sampleprovider,,OS_LI,King,West-South Seattle, ,Highline School District,,,53033027900,530330279001,11611,1,4,1,1,3,5,3,4,5,4,5,4,5,2,5,1,1,SEATTLE,98106,WA,,17,1,10,FALSE,0,563.8854259
15100279,1,0,5/5/2015,Tuesday,20,2,2,2,0,2,6,6,,4,REG_LI,1,RENTON,98058,2015reported,,REG_LI,King,Renton-FedWay-Kent, ,Renton School District,,,53033025803,530330258033,11610,1,2,2,5,1,5,1,4,2,5,5,5,2,4,1,1,1,KENT,98031,WA,,12,2,10,TRUE,0,146.373327
15100280,1,0,5/5/2015,Tuesday,7,1,1,1,0,0,5,4,,2,OS_HI,1,SEATTLE,98105,2015reported,,OS_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033004200,530330042005,11602,1,7,1,1,1,5,5,5,2,4,5,1,5,,,,,,,,,9,2,10,FALSE,0,83.98850963
15100281,1,0,5/5/2015,Tuesday,15,1,2,2,0,0,8,9,,5,OS_HI,1,SEATTLE,98121,2015reported,,OS_HI,King,Seattle CBD,Seattle Downtown,Seattle School District,Belltown,12,53033008001,530330080014,11603,1,5,1,5,1,4,1,5,1,1,5,2,1,,,,,,,,,11,1,10,FALSE,0,48.06848155
15100282,1,0,5/5/2015,Tuesday,7,2,2,2,0,2,7,10,,5,OS_MI,1,SEATTLE,98103,2015reported,,OS_MI,King,North Seattle-Shoreline, ,Seattle School District,Green Lake,3,53033003600,530330036004,11601,1,7,1,1,1,3,1,5,1,3,5,2,5,,,,,,,,,8,1,10,FALSE,0,889.6648315
15100283,1,0,5/5/2015,Tuesday,20,3,4,2,2,2,2,6,,4,REG_HI,1,SEATTLE,98126,2015reported,,REG_HI,King,West-South Seattle, ,Seattle School District,,,53033011500,530330115002,11605,1,6,1,1,3,5,4,4,5,2,3,2,3,,,,,,,,,11,1,10,FALSE,0,1163.893838
15100284,1,0,5/5/2015,Tuesday,12,3,4,2,2,2,1,8,,5,REG_HI,4,EDMONDS,98020,2015sampleprovider,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Edmonds School District,,,53061050500,530610505003,11701,1,4,1,1,5,5,4,5,1,2,1,5,2,5,5,1,1,SHORELINE,98155,WA,,9,2,10,FALSE,0,509.4289902
